Word,Category
the,Germanic
I,Germanic
to,Germanic
and,Germanic
a,Germanic
of,Germanic
was,Germanic
he,Germanic
you,Germanic
it,Germanic
in,Germanic
her,Germanic
she,Germanic
that,Germanic
my,Germanic
his,Germanic
me,Germanic
on,Germanic
with,Germanic
at,Germanic
as,Germanic
had,Germanic
for,Germanic
but,Germanic
him,Germanic
said,Germanic
be,Germanic
up,Germanic
out,Germanic
look,Germanic
so,Germanic
have,Germanic
what,Germanic
not,Germanic
just,French
like,Germanic
go,Germanic
they,Norse
is,Germanic
this,Germanic
from,Germanic
all,Germanic
we,Germanic
were,Germanic
back,Germanic
do,Germanic
one,Germanic
about,Germanic
know,Germanic
if,Germanic
when,Germanic
get,Norse
then,Germanic
into,Germanic
would,Germanic
no,Germanic
there,Germanic
I'm,Germanic
could,Germanic
don't,Germanic
ask,Germanic
down,Germanic
time,Germanic
didn't,Germanic
want,Germanic
eye,Germanic
them,Germanic
over,Germanic
your,Germanic
are,Germanic
or,Germanic
been,Germanic
now,Germanic
an,Germanic
by,Germanic
think,Germanic
see,Germanic
hand,Germanic
it's,Germanic
say,Germanic
how,Germanic
around,Germanic
head,Germanic
did,Germanic
well,Germanic
before,Germanic
off,Germanic
who,Germanic
more,Germanic
even,Germanic
turn,French
come,Germanic
smile,Germanic
way,Germanic
really,Germanic
can,Germanic
face,Latin
other,Germanic
some,Germanic
right,Germanic
their,Germanic
only,Germanic
walk,Germanic
make,Germanic
got,Germanic
try,French
something,Germanic
room,Germanic
again,Germanic
thing,Germanic
after,Germanic
still,Germanic
thought,Germanic
door,Germanic
here,Germanic
too,Germanic
little,Germanic
because,French
why,Germanic
away,Germanic
let,Germanic
take,Germanic
two,Germanic
start,Germanic
good,Germanic
where,Germanic
never,Germanic
through,Germanic
day,Germanic
much,Germanic
tell,Germanic
wasn't,Germanic
girl,Germanic
feel,Germanic
oh,Germanic
you're,Germanic
call,Germanic
talk,Germanic
will,Germanic
long,Germanic
than,Germanic
us,Germanic
made,Germanic
friend,Germanic
knew,Germanic
open,Germanic
need,Germanic
first,Germanic
which,Germanic
people,French
that's,Germanic
went,Germanic
sure,French
seem,Germanic
stop,Germanic
voice,French
very,Latin
felt,Germanic
took,Germanic
our,Germanic
pull,Germanic
laugh,Germanic
man,Germanic
okay,Germanic
close,French
any,Germanic
came,Germanic
told,Germanic
love,Germanic
watch,Germanic
arm,Germanic
anything,Germanic
I'll,Germanic
though,Germanic
put,Germanic
left,Germanic
work,Germanic
guy,Germanic
hair,Germanic
next,Germanic
couldn't,Germanic
yeah,Germanic
while,Germanic
mean,Germanic
home,Germanic
few,Germanic
saw,Germanic
place,Germanic
school,Germanic
help,Germanic
wait,Germanic
late,Germanic
year,Germanic
can't,Germanic
house,Germanic
happen,Germanic
last,Germanic
always,Germanic
move,French
old,Germanic
night,Germanic
nod,Germanic
life,Germanic
give,Germanic
sit,Germanic
stare,Germanic
sat,Germanic
should,Germanic
moment,French
another,Germanic
behind,Germanic
side,Germanic
sound,Germanic
once,Germanic
find,Germanic
toward,Germanic
boy,Germanic
ever,Germanic
nothing,Germanic
front,French
mother,Germanic
name,Germanic
am,Germanic
since,Germanic
reply,French
he's,Germanic
myself,Germanic
leave,Germanic
bed,Germanic
new,Germanic
car,French
use,Latin
mind,Germanic
maybe,Germanic
has,Germanic
heard,Germanic
answer,Germanic
minute,Latin
yes,Germanic
until,Germanic
both,Germanic
found,French
end,Germanic
small,Germanic
I'd,Germanic
word,Germanic
someone,Germanic
same,Germanic
enough,Germanic
began,Latin
run,Germanic
bit,Germanic
sigh,Germanic
each,Germanic
those,Germanic
almost,Germanic
against,Germanic
everything,Germanic
most,Germanic
thank,Germanic
wouldn't,Germanic
mom,Germanic
better,Germanic
play,Germanic
I've,Germanic
own,Germanic
every,Germanic
hard,Germanic
remember,French
three,Germanic
stood,Germanic
live,Germanic
stand,Germanic
second,French
sorry,Germanic
keep,Germanic
finally,Germanic
point,French
gave,Germanic
already,Germanic
actually,Germanic
probably,Germanic
himself,Germanic
big,Germanic
everyone,Germanic
guess,Germanic
lot,Germanic
step,Germanic
hey,Germanic
hear,Germanic
light,Germanic
quickly,Germanic
dad,Germanic
kiss,Germanic
black,Germanic
pick,Germanic
else,Germanic
soon,Germanic
shoulder,Germanic
table,Germanic
best,Germanic
without,Germanic
notice,French
stay,Germanic
care,Germanic
phone,Greek
reach,Germanic
realize,French
follow,Germanic
decide,French
kind,Germanic
she's,Germanic
grab,Dutch
he'd,Germanic
show,Germanic
inside,Germanic
suddenly,Germanic
father,Germanic
rest,Germanic
herself,Germanic
grin,Germanic
hour,French
hope,Germanic
also,Germanic
body,Germanic
might,Germanic
hadn't,Germanic
floor,Germanic
its,Germanic
continue,French
ran,Germanic
across,French
hold,Germanic
cry,French
half,Germanic
pretty,Germanic
great,Germanic
course,French
mouth,Germanic
class,French
kid,Germanic
miss,Germanic
wonder,Germanic
morning,Germanic
least,Germanic
nice,French
dark,Germanic
slowly,Germanic
done,Germanic
change,Latin
doesn't,Germanic
together,Germanic
yet,Germanic
question,French
anyway,Germanic
bad,Germanic
blue,French
believe,Germanic
week,Germanic
God,Germanic
lip,Germanic
Mr.,French
sleep,Germanic
fine,Latin
what's,Germanic
family,Italian
many,Germanic
worry,Germanic
roll,Latin
parent,French
under,Germanic
surprise,French
water,Germanic
onto,Germanic
we're,Germanic
glance,Germanic
wall,Germanic
between,Germanic
seen,Arabic
read,Germanic
window,Germanic
idea,Greek
white,Germanic
push,French
feet,Germanic
must,Germanic
such,Germanic
seat,Germanic
set,Germanic
please,French
red,Germanic
brother,Germanic
these,Germanic
whole,Germanic
lean,Germanic
part,Germanic
person,Latin
slightly,Germanic
pass,Italian
shook,Germanic
fact,French
wrong,Germanic
gone,Germanic
far,Germanic
hit,Germanic
finger,Germanic
quite,French
hate,Germanic
meet,Germanic
finish,French
heart,Germanic
book,Germanic
past,Germanic
kill,Germanic
reason,Germanic
anyone,Germanic
figure,French
top,Germanic
along,Germanic
world,Germanic
she'd,Germanic
high,Germanic
shirt,Germanic
does,Germanic
today,Germanic
young,Germanic
held,Germanic
outside,Germanic
listen,Germanic
whisper,Germanic
won't,Germanic
happy,Germanic
ground,Germanic
deep,Germanic
drop,Germanic
shrug,Germanic
dress,French
fell,Germanic
there's,Germanic
yell,Germanic
breath,Germanic
air,French
tear,Germanic
sister,Germanic
chair,French
kitchen,Germanic
matter,French
hurt,Germanic
fall,Germanic
wear,Germanic
isn't,Germanic
woman,Germanic
eat,Germanic
lie,Germanic
hell,Germanic
suppose,French
cover,Latin
couple,French
large,French
either,Germanic
five,Germanic
leg,Germanic
jump,Germanic
die,Germanic
return,French
able,French
bag,Germanic
alone,Germanic
shut,Germanic
stuff,Germanic
short,Germanic
ready,Germanic
understand,Germanic
kept,Germanic
plan,French
raise,Germanic
street,Germanic
different,French
problem,French
break,Germanic
line,Germanic
early,Germanic
cut,Germanic
cold,Germanic
paper,Latin
scream,Germanic
instead,Germanic
stupid,French
silence,French
tree,Germanic
caught,French
ear,Germanic
food,Germanic
full,Germanic
four,Germanic
cause,Latin
fuck,Germanic
explain,French
expect,Latin
fight,Germanic
exactly,Latin
sort,French
completely,Latin
men,Germanic
dance,French
met,Germanic
story,French
whatever,Germanic
build,Germanic
speak,Germanic
glass,Germanic
pain,French
check,French
glare,Germanic
corner,French
Mrs.,French
chest,Germanic
hot,Germanic
rather,Germanic
month,Germanic
real,Latin
touch,Germanic
park,Germanic
bring,Germanic
they're,Germanic
drink,Germanic
ago,Germanic
force,Germanic
you've,Germanic
fast,Germanic
lost,Germanic
attention,Latin
wish,Germanic
mark,Germanic
wave,Germanic
shout,Germanic
fill,Germanic
begin,Germanic
baby,Germanic
interest,Latin
money,French
fun,Germanic
green,Germanic
however,Germanic
cheek,Germanic
mine,Germanic
clear,French
brown,Germanic
forward,Germanic
near,Germanic
picture,French
may,Germanic
cool,Germanic
drive,Germanic
hug,Germanic
shake,Germanic
sense,Germanic
alright,Germanic
you'll,Germanic
dream,Germanic
hang,Germanic
clothes,Germanic
act,French
become,Germanic
manage,French
meant,Germanic
game,Germanic
ignore,French
stair,Germanic
taken,Germanic
party,French
add,Latin
sometimes,Germanic
job,Germanic
ten,Germanic
shot,Germanic
date,French
quiet,French
gaze,Germanic
group,Italian
loud,Germanic
straight,Germanic
dead,Germanic
neck,Germanic
beside,Germanic
pause,French
number,French
conversation,French
chance,Latin
we'll,Germanic
rose,Latin
quietly,Germanic
town,Germanic
blood,Germanic
color,French
desk,Latin
dinner,Latin
hall,Germanic
horse,Germanic
music,French
brought,Germanic
piece,Celtic
anymore,Germanic
beautiful,Germanic
order,French
fire,Germanic
office,French
true,Germanic
although,Germanic
warm,Germanic
easy,Germanic
enter,French
perfect,French
mutter,Imitative
softly,Germanic
cross,Germanic
shock,Dutch
smirk,Germanic
damn,French
soft,Germanic
stomach,French
snap,Germanic
spoke,Germanic
tire,Germanic
box,Germanic
catch,Latin
skin,Germanic
teacher,Germanic
middle,Germanic
note,Germanic
yourself,Germanic
haven't,Germanic
lunch,Germanic
tomorrow,Germanic
breathe,Germanic
clean,Germanic
except,French
appear,French
lock,Germanic
knock,Germanic
bathroom,Germanic
movie,French
agree,French
offer,Germanic
kick,Germanic
form,French
confuse,French
lay,Germanic
less,Germanic
calm,Latin
slip,Germanic
weren't,Germanic
sign,French
dog,Germanic
lift,Germanic
immediately,Germanic
arrive,Latin
deal,Germanic
tonight,Germanic
usually,Germanic
case,French
frown,Celtic
shop,Germanic
scare,Germanic
promise,Latin
mum,Germanic
couch,Germanic
pay,Latin
state,French
shit,Germanic
wrap,Germanic
pocket,Germanic
hello,Germanic
free,Germanic
huge,Germanic
ride,Germanic
bother,Scots
land,Germanic
known,Germanic
especially,French
expression,French
carry,French
ring,Germanic
spot,Germanic
allow,French
several,Latin
aren't,Germanic
during,Germanic
empty,Germanic
lady,Germanic
eyebrow,Germanic
strange,French
coffee,Arabic
road,Germanic
threw,Germanic
wide,Germanic
bus,Latin
forget,Germanic
gotten,Germanic
smell,Germanic
fear,Germanic
press,Latin
boyfriend,Germanic
blonde,French
throw,Germanic
round,Germanic
sun,Germanic
tall,Germanic
glad,Germanic
age,Latin
write,Germanic
upon,Germanic
hide,Germanic
became,Germanic
crowd,Germanic
rain,Germanic
save,Latin
trouble,Latin
annoy,French
nose,Germanic
weird,Germanic
death,Germanic
beat,Germanic
tone,French
trip,Germanic
six,Germanic
control,Latin
nearly,Germanic
consider,French
gonna,Germanic
join,French
learn,Germanic
above,Germanic
hi,Germanic
obviously,Latin
entire,French
direction,French
foot,Germanic
angry,Germanic
power,Latin
strong,Germanic
quick,Germanic
doctor,French
edge,Germanic
song,Germanic
asleep,Germanic
twenty,Germanic
barely,Germanic
remain,French
child,Germanic
enjoy,French
gun,Germanic
slow,Germanic
city,Latin
broke,Germanic
key,Germanic
lead,Germanic
throat,Germanic
normal,Latin
you'd,Germanic
somewhere,Germanic
wake,Germanic
pair,Latin
sky,Germanic
funny,Germanic
business,Germanic
student,French
giggle,Germanic
bright,Germanic
admit,French
jeans,Latin
given,Germanic
children,Germanic
store,French
sweet,Germanic
low,Germanic
climb,Germanic
rub,Germanic
apartment,French
knee,Germanic
shoe,Germanic
attack,French
bedroom,Germanic
joke,Italian
spent,Germanic
situation,Latin
stuck,Germanic
gently,Germanic
possible,French
cell,Germanic
mention,French
silent,Latin
definitely,Latin
rush,Germanic
hung,Germanic
brush,Germanic
perhaps,Germanic
groan,Germanic
ass,Germanic
rock,Germanic
card,Latin
lose,Germanic
blush,Germanic
besides,Germanic
crazy,Unknown
type,Greek
bore,Germanic
afraid,Germanic
chase,French
respond,Latin
marry,French
remind,Germanic
pack,Germanic
daughter,Germanic
serious,Latin
girlfriend,Germanic
mad,Germanic
somehow,Germanic
buy,Germanic
sent,Germanic
tight,Germanic
simply,Germanic
trust,Germanic
imagine,French
wind,Germanic
chuckle,Germanic
bar,Latin
pink,Dutch
shove,Germanic
ball,Germanic
sight,Germanic
drag,Norse
they'd,Germanic
human,French
truth,Germanic
share,Germanic
area,Latin
concern,Latin
shouldn't,Germanic
team,Germanic
escape,Latin
mumble,Germanic
often,Germanic
search,French
apparently,Latin
attempt,French
son,Germanic
within,Germanic
band,Germanic
cute,Latin
led,Germanic
memory,French
anger,Germanic
fly,Germanic
paint,French
bottle,Germanic
busy,Germanic
comment,Latin
exclaim,French
avoid,French
grow,Germanic
grey,Germanic
mirror,French
gasp,Germanic
hallway,Germanic
dear,Germanic
star,Germanic
sick,Germanic
cat,Germanic
counter,French
interrupt,Latin
none,Germanic
blink,Germanic
spend,Germanic
usual,French
worse,Germanic
